Cod_IBGE;grande_regiao;municipio;total_casos;total_obitos;taxa_de_letalidade;populacao;taxa_de_mortalidade
3553203;Interior;Taiãva;660;10;1.52;6265;0.16
3500600;Interior;ãguas de São Pedro;209;5;2.39;3144;0.16
3538907;Interior;Pirajuã;1540;37;2.40;23274;0.16
3535705;Interior;Paraãso;294;10;3.40;6293;0.16
3519253;Interior;Iaras;165;11;6.67;6943;0.16
3539905;Interior;Poloni;379;9;2.37;5681;0.16
3543006;Interior;Ribeirão Branco;1105;28;2.53;17683;0.16
3509601;Interior;Campo Limpo Paulista;3815;132;3.46;83530;0.16
3528502;RMSP (exceto capital);Mairiporã;5061;158;3.12;100034;0.16
3517208;Interior;Guaiãara;1045;19;1.82;12045;0.16
3556800;Interior;Viradouro;1348;29;2.15;18421;0.16
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;7447;307;4.12;195168;0.16
3500709;Interior;Agudos;2547;57;2.24;36255;0.16
3513009;RMSP (exceto capital);Cotia;9647;395;4.09;251382;0.16
3526902;Interior;Limeira;15045;467;3.10;297662;0.16
3532843;Interior;Nova Canaã Paulista;152;3;1.97;1921;0.16
3524501;Interior;Jaci;562;11;1.96;7052;0.16
3544905;Interior;Sales Oliveira;1293;18;1.39;11580;0.16
3546702;Interior;Santa Gertrudes;2356;41;1.74;26572;0.15
3517901;Interior;Guaraci;664;17;2.56;11050;0.15
3526209;RMSP (exceto capital);Juquitiba;1589;47;2.96;30579;0.15
3500758;Interior;Alambari;424;9;2.12;5856;0.15
3507001;Interior;Boituva;4073;89;2.19;57987;0.15
3534906;Interior;Pacaembu;929;20;2.15;13041;0.15
3501905;Interior;Amparo;4003;107;2.67;69861;0.15
3505609;Interior;Barrinha;1190;50;4.20;32658;0.15
3525003;RMSP (exceto capital);Jandira;5118;191;3.73;124940;0.15
3506409;Interior;Bilac;704;12;1.70;7855;0.15
3511706;Interior;Charqueada;991;26;2.62;17075;0.15
3519907;Interior;Iepã;507;12;2.37;7943;0.15
3541604;Interior;Promissão;4080;60;1.47;40001;0.15
3541109;Interior;Presidente Alves;214;6;2.80;4011;0.15
3541000;Interior;Praia Grande;14600;480;3.29;321008;0.15
3516507;Interior;Gabriel Monteiro;117;4;3.42;2677;0.15
3544301;Interior;Roseira;960;16;1.67;10723;0.15
3523305;Interior;Itariri;956;26;2.72;17442;0.15
3519105;Interior;Iacanga;812;17;2.09;11410;0.15
3503208;Interior;Araraquara;15682;340;2.17;228792;0.15
3516101;Interior;Florãnea;126;4;3.17;2697;0.15
3511508;Interior;Cerquilho;3518;69;1.96;46932;0.15
3518859;Interior;Guataparã;254;11;4.33;7482;0.15
3527405;Interior;Lucãlia;931;31;3.33;21092;0.15
3555356;Interior;Ubarana;555;9;1.62;6126;0.15
3520608;Interior;Indiana;199;7;3.52;4771;0.15
3523909;Interior;Itu;12382;250;2.02;170938;0.15
3536703;Interior;Pederneiras;2799;67;2.39;45877;0.15
3541307;Interior;Presidente Epitãcio;1832;62;3.38;42484;0.15
3509908;Interior;Cananãia;542;18;3.32;12379;0.15
3512803;Interior;Cosmãpolis;5222;105;2.01;72215;0.15
3553658;Interior;Taquaral;232;4;1.72;2753;0.15
3500303;Interior;Aguaã;1833;52;2.84;35885;0.14
3549409;Interior;São Joaquim da Barra;3563;73;2.05;50553;0.14
3504107;Interior;Atibaia;8371;203;2.43;140589;0.14
3546256;Interior;Santa Cruz da Esperanãa;111;3;2.70;2086;0.14
3517802;Interior;Guaraãaã;560;12;2.14;8400;0.14
3505401;Interior;Barra do Turvo;433;11;2.54;7709;0.14
3513306;Interior;Cruzãlia;107;3;2.80;2105;0.14
3547106;Interior;Santa Mercedes;115;4;3.48;2814;0.14
3542206;Interior;Rancharia;2245;41;1.83;28855;0.14
3535606;Interior;Paraibuna;897;26;2.90;18304;0.14
3554409;Interior;Terra Roxa;573;13;2.27;9170;0.14
3539707;Interior;Platina;175;5;2.86;3528;0.14
3526506;Interior;Lavãnia;651;12;1.84;8476;0.14
3516002;Interior;Flãrida Paulista;882;17;1.93;12060;0.14
3536604;Interior;Paulo de Faria;444;12;2.70;8520;0.14
3519006;Interior;Herculãndia;565;13;2.30;9310;0.14
3532702;Interior;Nipoã;323;7;2.17;5014;0.14
3544202;Interior;Riolãndia;974;16;1.64;11501;0.14
3556701;Interior;Vinhedo;6030;109;1.81;78440;0.14
3504503;Interior;Avarã;5796;122;2.10;87854;0.14
3523602;Interior;Itirapina;1122;24;2.14;17284;0.14
3524709;Interior;Jaguariãna;3493;77;2.20;55477;0.14
3508207;Interior;Buritizal;210;6;2.86;4323;0.14
3540606;Interior;Porto Feliz;5226;72;1.38;51907;0.14
3520103;Interior;Igarapava;1088;41;3.77;29560;0.14
3503703;Interior;Ariranha;378;13;3.44;9378;0.14
3537800;Interior;Piedade;3210;74;2.31;53656;0.14
3501400;Interior;ãlvaro de Carvalho;136;7;5.15;5079;0.14
3524006;Interior;Itupeva;4146;83;2.00;60255;0.14
3510203;Interior;Capão Bonito;3013;64;2.12;46521;0.14
3514908;Interior;Elias Fausto;980;24;2.45;17459;0.14
3507506;Interior;Botucatu;10803;194;1.80;142092;0.14
3505104;Interior;Barbosa;337;10;2.97;7345;0.14
3508405;Interior;Cabreãva;2947;68;2.31;50112;0.14
3505906;Interior;Batatais;2064;82;3.97;60502;0.14
3501004;Interior;Altinãpolis;679;21;3.09;15547;0.14
3531902;Interior;Morro Agudo;3078;44;1.43;32603;0.13
3529807;Interior;Mineiros do Tietã;943;17;1.80;12641;0.13
3541059;Interior;Pratãnia;463;7;1.51;5210;0.13
3539608;Interior;Planalto;414;7;1.69;5221;0.13
3515400;Interior;Fartura;976;21;2.15;15679;0.13
3537404;Interior;Pereira Barreto;1298;34;2.62;25411;0.13
3550407;Interior;São Pedro;3112;46;1.48;34408;0.13
3547205;Interior;Santana da Ponte Pensa;37;2;5.41;1497;0.13
3541653;Interior;Quadra;106;5;4.72;3745;0.13
3528809;Interior;Maracaã;999;18;1.80;13526;0.13
3527603;Interior;Luãs Antãnio;1133;19;1.68;14358;0.13
3513702;Interior;Descalvado;2388;43;1.80;32516;0.13
3525201;Interior;Jarinu;1703;40;2.35;30330;0.13
3553302;Interior;Tambaã;1772;30;1.69;22846;0.13
3557204;Interior;Chavantes;512;16;3.13;12229;0.13
3524303;Interior;Jaboticabal;4493;97;2.16;74352;0.13
3531803;Interior;Monte Mor;3867;79;2.04;60555;0.13
3542909;Interior;Ribeirão Bonito;606;17;2.81;13033;0.13
3500501;Interior;ãguas de Lindãia;998;24;2.40;18438;0.13
3520707;Interior;Indiaporã;143;5;3.50;3847;0.13
3540754;Interior;Potim;1321;27;2.04;20815;0.13
3538808;Interior;Piraju;1128;37;3.28;28552;0.13
3537503;Interior;Pereiras;645;11;1.71;8507;0.13
3532058;Interior;Motuca;240;6;2.50;4665;0.13
3510807;Interior;Casa Branca;1553;38;2.45;29549;0.13
3507159;Interior;Bom Sucesso de Itararã;117;5;4.27;3894;0.13
3546900;Interior;Santa Lãcia;488;11;2.25;8590;0.13
3524907;Interior;Jambeiro;271;8;2.95;6272;0.13
3544400;Interior;Rubiãcea;82;4;4.88;3138;0.13
3553955;Interior;Tarumã;924;19;2.06;14951;0.13
3546504;Interior;Santa Ernestina;342;7;2.05;5527;0.13
3518503;Interior;Guareã;2668;20;0.75;15844;0.13
3517307;Interior;Guaimbã;342;7;2.05;5547;0.13
3514502;Interior;Duartina;568;15;2.64;11941;0.13
3521705;Interior;Itaberã;1427;22;1.54;17615;0.12
3502903;Interior;Araãoiaba da Serra;1963;41;2.09;32846;0.12
3514601;Interior;Dumont;978;12;1.23;9659;0.12
3535507;Interior;Paraguaãu Paulista;2257;55;2.44;44310;0.12
3511409;Interior;Cerqueira Cãsar;1134;24;2.12;19350;0.12
3520004;Interior;Igaraãu do Tietã;1332;30;2.25;24206;0.12
3554706;Interior;Torrinha;770;12;1.56;9736;0.12
3540903;Interior;Pradãpolis;1286;26;2.02;21167;0.12
3550704;Interior;São Sebastião;5960;108;1.81;88156;0.12
3516606;Interior;Gãlia;314;8;2.55;6537;0.12
3508900;Interior;Caiabu;68;5;7.35;4104;0.12
3514106;Interior;Dois Cãrregos;1219;33;2.71;27151;0.12
3550209;Interior;São Miguel Arcanjo;1024;39;3.81;32115;0.12
3516200;Interior;Franca;19953;416;2.08;343801;0.12
3523008;Interior;Itapura;171;6;3.51;4965;0.12
3527702;Interior;Luiziãnia;171;7;4.09;5813;0.12
3539400;Interior;Piratininga;586;16;2.73;13305;0.12
3509452;Interior;Campina do Monte Alegre;370;7;1.89;5832;0.12
3517000;Interior;Getulina;744;13;1.75;10856;0.12
3524204;Interior;Jaborandi;387;8;2.07;6681;0.12
3529302;Interior;Matão;3022;96;3.18;80174;0.12
3521804;Interior;Itaã;1399;32;2.29;26725;0.12
3544103;RMSP (exceto capital);Rio Grande da Serra;1679;60;3.57;50313;0.12
3514304;Interior;Dourado;409;10;2.44;8466;0.12
3537701;Interior;Piacatu;517;7;1.35;5936;0.12
3554607;Interior;Timburi;92;3;3.26;2551;0.12
3540507;Interior;Porangaba;473;11;2.33;9380;0.12
3510401;Interior;Capivari;3359;64;1.91;54686;0.12
3532108;Interior;Murutinga do Sul;231;5;2.16;4283;0.12
3546405;Interior;Santa Cruz do Rio Pardo;2705;54;2.00;46276;0.12
3552304;Interior;Sud Mennucci;685;9;1.31;7728;0.12
3515004;RMSP (exceto capital);Embu das Artes;7669;317;4.13;273266;0.12
3556453;RMSP (exceto capital);Vargem Grande Paulista;1664;62;3.73;53613;0.12
3527900;Interior;Lutãcia;157;3;1.91;2615;0.11
3518404;Interior;Guaratinguetã;5604;136;2.43;118741;0.11
3514924;Interior;Elisiãrio;314;4;1.27;3518;0.11
3503109;Interior;Arandu;250;7;2.80;6168;0.11
3536570;Interior;Paulistãnia;78;2;2.56;1769;0.11
3549706;Interior;São Josã do Rio Pardo;1452;60;4.13;53277;0.11
3515301;Interior;Estrela do Norte;225;3;1.33;2668;0.11
3510104;Interior;Cãndido Rodrigues;105;3;2.86;2672;0.11
3556503;Interior;Vãrzea Paulista;4824;136;2.82;121482;0.11
3553005;Interior;Taguaã;1160;15;1.29;13503;0.11
3535309;Interior;Palmital;1589;24;1.51;21609;0.11
3542503;Interior;Reginãpolis;258;8;3.10;7204;0.11
3548906;Interior;São Carlos;16373;271;1.66;244036;0.11
3523503;Interior;Itatinga;1254;23;1.83;20752;0.11
3527306;Interior;Louveira;2774;54;1.95;48965;0.11
3503604;Interior;Areiãpolis;785;12;1.53;10900;0.11
3535200;Interior;Palmeira d'Oeste;486;10;2.06;9092;0.11
3536307;Interior;Patrocãnio Paulista;584;16;2.74;14592;0.11
3544251;Interior;Rosana;906;20;2.21;18320;0.11
3537206;Interior;Pedro de Toledo;252;12;4.76;11055;0.11
3534807;Interior;Ouro Verde;353;9;2.55;8306;0.11
3536109;Interior;Pardinho;407;7;1.72;6467;0.11
3522901;Interior;Itapuã;1015;15;1.48;13913;0.11
3550902;Interior;São Simão;624;16;2.56;14891;0.11
3542008;Interior;Quintana;291;7;2.41;6539;0.11
3511904;Interior;Clementina;594;9;1.52;8413;0.11
3506102;Interior;Bebedouro;3238;79;2.44;73969;0.11
3554300;Interior;Teodoro Sampaio;1313;24;1.83;22495;0.11
3543253;Interior;Ribeirão Grande;266;8;3.01;7515;0.11
3515905;Interior;Floreal;130;3;2.31;2842;0.11
3551603;Interior;Serra Negra;1653;29;1.75;27486;0.11
3523800;Interior;Itobi;496;8;1.61;7608;0.11
3555208;Interior;Turiãba;133;2;1.50;1905;0.10
3528601;Interior;Manduri;471;10;2.12;9562;0.10
3505807;Interior;Bastos;503;21;4.17;20296;0.10
3554508;Interior;Tietã;2178;42;1.93;41405;0.10
3545159;Interior;Saltinho;461;8;1.74;7898;0.10
3540408;Interior;Populina;126;4;3.17;3977;0.10
3548302;Interior;Santo Expedito;143;3;2.10;2986;0.10
3502408;Interior;Anhumas;181;4;2.21;3983;0.10
3507902;Interior;Brotas;425;24;5.65;24039;0.10
3537156;Interior;Pedrinhas Paulista;204;3;1.47;3015;0.10
3509700;Interior;Campos do Jordão;3367;50;1.49;50307;0.10
3512100;Interior;Colãmbia;294;6;2.04;6048;0.10
3538006;Interior;Pindamonhangaba;8390;163;1.94;164753;0.10
3506904;Interior;Bofete;543;11;2.03;11194;0.10
3549607;Interior;São Josã do Barreiro;194;4;2.06;4073;0.10
3555406;Interior;Ubatuba;5226;88;1.68;89782;0.10
3514809;Interior;Eldorado;1029;15;1.46;15331;0.10
3515129;Interior;Emilianãpolis;213;3;1.41;3069;0.10
3503406;Interior;Arealva;565;8;1.42;8223;0.10
3527207;Interior;Lorena;3556;84;2.36;86952;0.10
3548005;Interior;Santo Antãnio de Posse;1857;22;1.18;23027;0.10
3530201;Interior;Mirante do Paranapanema;509;17;3.34;17831;0.10
3553609;Interior;Tapiratiba;897;12;1.34;12602;0.10
3520400;Interior;Ilhabela;5424;32;0.59;33821;0.09
3547700;Interior;Santo Anastãcio;1032;19;1.84;20106;0.09
3531100;Interior;Mongaguã;1297;52;4.01;55216;0.09
3556404;Interior;Vargem Grande do Sul;1963;39;1.99;41684;0.09
3547601;Interior;Santa Rosa de Viterbo;1475;24;1.63;25732;0.09
3541703;Interior;Quatã;781;13;1.66;14025;0.09
3543204;Interior;Ribeirão do Sul;384;4;1.04;4351;0.09
3547502;Interior;Santa Rita do Passa Quatro;1052;24;2.28;26355;0.09
3521200;Interior;Iporanga;219;4;1.83;4424;0.09
3541802;Interior;Queiroz;153;3;1.96;3319;0.09
3531209;Interior;Monte Alegre do Sul;353;7;1.98;7792;0.09
3515608;Interior;Fernando Prestes;496;5;1.01;5568;0.09
3525854;Interior;Jumirim;260;3;1.15;3343;0.09
3508603;Interior;Cachoeira Paulista;1791;29;1.62;32381;0.09
3531704;Interior;Monteiro Lobato;149;4;2.68;4491;0.09
3551405;Interior;Serra Azul;993;11;1.11;12381;0.09
3505005;Interior;Barão de Antonina;168;3;1.79;3407;0.09
3537107;Interior;Pedreira;2555;41;1.60;46908;0.09
3556909;Interior;Vista Alegre do Alto;604;7;1.16;8091;0.09
3522307;Interior;Itapetininga;11063;139;1.26;161509;0.09
3507100;Interior;Bom Jesus dos Perdães;1624;21;1.29;24625;0.09
3538303;Interior;Piquerobi;152;3;1.97;3532;0.08
3538600;Interior;Piracaia;2310;22;0.95;26379;0.08
3532009;Interior;Morungaba;634;11;1.74;13359;0.08
3509403;Interior;Cajuru;657;21;3.20;25850;0.08
3503158;Interior;Arapeã;177;2;1.13;2469;0.08
3504701;Interior;Balbinos;306;3;0.98;3707;0.08
3538501;Interior;Piquete;281;11;3.91;13621;0.08
3554102;Interior;Taubatã;18246;248;1.36;309483;0.08
3519204;Interior;Iacri;185;5;2.70;6255;0.08
3549508;Interior;São Josã da Bela Vista;170;7;4.12;8762;0.08
3533205;Interior;Nova Independãncia;314;3;0.96;3774;0.08
3509957;Interior;Canas;150;4;2.67;5120;0.08
3553500;Interior;Tapiraã;327;6;1.83;7705;0.08
3528106;Interior;Macaubal;382;6;1.57;7738;0.08
3546009;Interior;Santa Branca;638;11;1.72;14212;0.08
3528403;Interior;Mairinque;2771;36;1.30;46569;0.08
3552106;Interior;Socorro;2269;30;1.32;38896;0.08
3507456;Interior;Borebi;125;2;1.60;2602;0.08
3504305;Interior;Avaã;254;4;1.57;5314;0.08
3506706;Interior;Boa Esperanãa do Sul;673;11;1.63;14658;0.08
3515350;Interior;Euclides da Cunha Paulista;257;7;2.72;9549;0.07
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;1293;14;1.08;19139;0.07
3533700;Interior;Ocauãu;242;3;1.24;4143;0.07
3510302;Interior;Capela do Alto;1041;15;1.44;20828;0.07
3509106;Interior;Caiuã;238;4;1.68;5642;0.07
3536406;Interior;Paulicãia;299;5;1.67;7213;0.07
3553856;Interior;Taquarivaã;215;4;1.86;5803;0.07
3508702;Interior;Caconde;933;13;1.39;18893;0.07
3550506;Interior;São Pedro do Turvo;450;5;1.11;7389;0.07
3523404;Interior;Itatiba;7007;79;1.13;119084;0.07
3550001;Interior;São Luiz do Paraitinga;28;7;25.00;10584;0.07
3545407;Interior;Salto Grande;466;6;1.29;9125;0.07
3506300;Interior;Bernardino de Campos;383;7;1.83;10793;0.06
3521101;Interior;Ipeãna;384;5;1.30;7711;0.06
3552007;Interior;Silveiras;272;4;1.47;6240;0.06
3522158;Interior;Itaoca;230;2;0.87;3187;0.06
3519709;Interior;Ibiãna;2445;48;1.96;76867;0.06
3513405;Interior;Cruzeiro;3869;50;1.29;80128;0.06
3509809;Interior;Campos Novos Paulista;194;3;1.55;4841;0.06
3515194;Interior;Espãrito Santo do Turvo;202;3;1.49;4850;0.06
3542800;Interior;Ribeira;243;2;0.82;3240;0.06
3502002;Interior;Analãndia;245;3;1.22;4895;0.06
3519055;Interior;Holambra;1327;9;0.68;14711;0.06
3528700;Interior;Marabã Paulista;86;3;3.49;4942;0.06
3548203;Interior;Santo Antãnio do Pinhal;384;4;1.04;6643;0.06
3530904;Interior;Mombuca;208;2;0.96;3338;0.06
3510153;Interior;Canitar;397;3;0.76;5051;0.06
3532405;Interior;Nazarã Paulista;1073;11;1.03;18611;0.06
3513207;Interior;Cristais Paulista;594;5;0.84;8494;0.06
3554755;Interior;Trabiju;65;1;1.54;1716;0.06
3542107;Interior;Rafard;583;5;0.86;9014;0.06
3531506;Interior;Monte Azul Paulista;1189;10;0.84;18131;0.06
3537008;Interior;Pedregulho;246;9;3.66;16319;0.06
3533601;Interior;Nuporanga;261;4;1.53;7297;0.05
3521002;Interior;Iperã;1722;19;1.10;34800;0.05
3522000;Interior;Itaju;355;2;0.56;3688;0.05
3550605;Interior;São Roque;4392;47;1.07;88032;0.05
3529658;Interior;Mesãpolis;113;1;0.88;1893;0.05
3542701;Interior;Restinga;269;4;1.49;7575;0.05
3543808;Interior;Rinãpolis;241;5;2.07;9700;0.05
3540002;Interior;Pompãia;567;11;1.94;21384;0.05
3528908;Interior;Mariãpolis;149;2;1.34;3979;0.05
3547007;Interior;Santa Maria da Serra;362;3;0.83;6208;0.05
3529104;Interior;Marinãpolis;149;1;0.67;2096;0.05
3522653;Interior;Itapirapuã Paulista;436;2;0.46;4214;0.05
3541901;Interior;Queluz;750;6;0.80;12735;0.05
3508306;Interior;Cabrãlia Paulista;217;2;0.92;4306;0.05
3533106;Interior;Nova Guataporanga;160;1;0.63;2192;0.05
3555505;Interior;Ubirajara;216;2;0.93;4684;0.04
3543105;Interior;Ribeirão Corrente;153;2;1.31;4698;0.04
3554201;Interior;Tejupã;121;2;1.65;4707;0.04
3526605;Interior;Lavrinhas;206;3;1.46;7218;0.04
3526308;Interior;Lagoinha;135;2;1.48;4821;0.04
3510906;Interior;Cãssia dos Coqueiros;151;1;0.66;2486;0.04
3533809;Interior;ãleo;58;1;1.72;2517;0.04
3548609;Interior;São Bento do Sapucaã;408;4;0.98;10539;0.04
3540853;Interior;Pracinha;167;1;0.60;2921;0.03
3536802;Interior;Pedra Bela;161;2;1.24;5974;0.03
3514007;Interior;Dobrada;390;3;0.77;8985;0.03
3525409;Interior;Jeriquara;189;1;0.53;3141;0.03
3523701;Interior;Itirapuã;215;2;0.93;6311;0.03
3525508;Interior;Joanãpolis;752;4;0.53;12720;0.03
3532306;Interior;Natividade da Serra;99;2;2.02;6703;0.03
3556354;Interior;Vargem;142;3;2.11;10094;0.03
3502309;Interior;Anhembi;127;2;1.57;6755;0.03
3551108;Interior;Sarapuã;305;3;0.98;10206;0.03
3542305;Interior;Redenãão da Serra;80;1;1.25;3834;0.03
3503505;Interior;Areias;228;1;0.44;3860;0.03
3513603;Interior;Cunha;593;5;0.84;21660;0.02
3527801;Interior;Lupãrcio;167;1;0.60;4428;0.02
3554805;Interior;Tremembã;1714;10;0.58;46364;0.02
3538204;Interior;Pinhalzinho;510;3;0.59;14877;0.02
3504909;Interior;Bananal;723;2;0.28;10691;0.02
3505351;Interior;Barra do Chapãu;216;1;0.46;5561;0.02
3554953;Interior;Tuiuti;128;1;0.78;6597;0.02
3506201;Interior;Bento de Abreu;237;0;0.00;2966;0.00
3507209;Interior;Borã;48;0;0.00;811;0.00
3515657;Interior;Fernão;128;0;0.00;1656;0.00
3527504;Interior;Lucianãpolis;97;0;0.00;2264;0.00
3544707;Interior;Sagres;103;0;0.00;2362;0.00
3549300;Interior;São João do Pau d'Alho;103;0;0.00;1973;0.00
